"id","cod_incidencia","empresa","ciudad","tipo_incid","estado","municipalidad","causa","areas_afectadas","fec_deteccion","fec_estimada","infor_web","descripcion","tipo_red","diametro","agua","desague","facilityid","cod_sunass","vusuario","fuente","imagen_url","creado_en","actualizado_en"
"125184","M-20260923070642-827","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","LA MOLINA","Limpieza de reservorio","Urb. Rinconada alta I etapa; Urb. El Refugio","2026-09-25 13:00:00","2026-09-25 23:50:00","Sector 196","","AGUA","","1","0","","","","MANUAL","uploads/img_20260923070642.jpg","2026-09-23 08:06:42","2026-09-23 08:06:42"
"125178","M-20260923065242-865","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","LOS OLIVOS","Limpieza de reservorio","C.H. Carlos Cueto Fernandini 1ra y 2da etapa; Urb. Parque El Naranjal 1ra etapa; Urb. Preví; Urb. Villa del Norte","2026-09-25 12:00:00","2026-09-25 20:00:00","Sector 83","","AGUA","","1","0","","","","MANUAL","uploads/img_20260923065242.jpg","2026-09-23 07:52:42","2026-09-23 07:52:42"
"125177","M-20260923065235-840","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","LOS OLIVOS","Limpieza de reservorio","APV Patria Nueva","2026-09-25 12:00:00","2026-09-25 20:00:00","Sector 84","","AGUA","","1","0","","","","MANUAL","uploads/img_20260923065235.jpg","2026-09-23 07:52:35","2026-09-23 07:52:35"
"125179","M-20260923065245-282","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","LA MOLINA","Limpieza de reservorio","Urb. Rinconada alta I y II etapa","2026-09-25 08:00:00","2026-09-25 20:00:00","Sector 196","","AGUA","","1","0","","","","MANUAL","uploads/img_20260923065245.jpg","2026-09-23 07:52:45","2026-09-23 07:52:45"
"125168","M-20260922150316-556","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","LA MOLINA","Limpieza de reservorio","Conjunto Residencial La Alameda I; Urb. Las Lomas de La Molina Vieja 2da etapa; Mzs. P1, O1, D1, F1, G1, I1, J1, H1, N1, M1, K1 y L1","2026-09-24 14:00:00","2026-09-24 23:50:00","Sector 199","","AGUA","","1","0","","","","MANUAL","uploads/img_20260922150316.jpg","2026-09-22 16:03:16","2026-09-22 16:03:16"
"125169","M-20260922150321-217","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","MIRAFLORES","Empalme de tubería","Urb. Miraflores; Av. Arequipa; Av. Angamos Oeste; Calle García Calderón; Calle General Borgoño; Calle Independencia","2026-09-24 12:00:00","2026-09-24 23:00:00","Sector 55","","AGUA","","1","0","","","","MANUAL","uploads/img_20260922150321.jpg","2026-09-22 16:03:21","2026-09-22 16:03:21"
"125166","M-20260922111551-432","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","LOS OLIVOS","Limpieza de reservorio","A.H. Laura Caller; A.H. Los Olivos; A.H. San Martín; A.H. San Martín de Porres; APV COVITCOSF; APV Santa Elisa; Asoc. Alameda de Villa Sol; Asoc. Alameda del Naranjal; Coop. Santa Elisa; Urb. Los Naranjos; Urb. Parque El Naranjal II Etapa; Urb. Santa Elisa I y II etapa","2026-09-24 12:00:00","2026-09-24 20:00:00","Sector 84","","AGUA","","1","0","","","","MANUAL","uploads/img_20260922111551.jpg","2026-09-22 12:15:51","2026-09-22 12:15:51"
"125163","M-20260922084355-625","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","VILLA MARÍA DEL TRIUNFO","Ejecución de empalmes en las redes secundarias","Av. César Tello; Jr. Túpac Amaru; Av. José Carlos Mariátegui; Área Progreso; Jr. El Carmen; Jr. Víctor Fajardo; Jr. Pedro Valle Medina; Jr. Pedro Tejada; Jr. San Pedro","2026-09-24 10:00:00","2026-09-24 18:00:00","Sectores S- 309, S-310 y S-311","","AGUA","","1","0","","","","MANUAL","uploads/img_20260922084355.jpg","2026-09-22 09:43:55","2026-09-22 09:43:55"
"125165","M-20260922084417-627","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","SANTA ANITA","Limpieza de reservorio","Cooperativa Viñas de San Francisco; Urb. Portada de Ceres; Coop. Benjamín Doig; Urb. Productores; Urb. El Asesor I y II; A.H. 29 de enero","2026-09-24 08:00:00","2026-09-24 20:00:00","Sector 166","","AGUA","","1","0","","","","MANUAL","uploads/img_20260922084417.jpg","2026-09-22 09:44:17","2026-09-22 09:44:17"
"125164","M-20260922084402-876","SEDAPAL","Lima y Callao","PROGRAMADA","MANUAL","VILLA EL SALVADOR","Limpieza y desinfección de Reservorio","A.H. La Unión; Sector 7; Grupos 1, 1A, 2, 2A, 3, 3A. Sector 9; Grupo 1. Sector 9; Grupo 2; Mzs. A, B, C, D, E, H, J, K, L, M, N, O, P. Sector 9; Grupo 2; Mzs. F, G, I. Sector 7; Grupo 4. A.H. Edilberto Ramos.; A.H. Sector 9 Grupo 5; Ampliación La Encantada, Collasuyo, San Ignacio de Loyola; A.H. Collasuyo; Ampliac. 3A 7mo, 9no, y 10mo. Sector Grupo 2A, 3A; Oasis 2 Mirador de Villa 200 Millas. Grupo 5 sector 9no.; A.H. El Mirador Mz. A Lote 1; A.H. La Encantada Grupo 1; A.H. 9no Sectores 1 y 3; Oasis de Villa Grupos 1, 2, 3, 4 y 4A; A.H. Edilberto Ramos; A.H. Los Jardines de Pachacámac, Valle de Jesús, Héroes del Cenepa; A,H, Las Palmeras, A.H. Laureles de Villa.","2026-09-24 08:00:00","2026-09-24 20:00:00","Sector 326","","AGUA","","1","0","","","","MANUAL","uploads/img_20260922084402.jpg","2026-09-22 09:44:02","2026-09-22 09:44:02"
